,매출채권,재고자산,무형자산,자본금,이익잉여금,투자부동산
2013,53965311644.0,4154522050.0,9163836314.0,10324132000.0,99009493918.0,
2014,47056373233.0,4189388485.0,10760309793.0,10324132000.0,100969700462.0,
2015,48218703216,4790322111,14632319083,10411146500,105166824136,24861369420
2016,34867201940,4615566014,11580454693,10877831500,110263531616,26334230340
2017,65387581105,3991997669,11613884187,10877831500,127651470092,27334279600
2018,74475111543,4433124212,11761183840,11513575500,149766629180,27939828860
2019,93729758200,6259887685,9868283789,11723500500,161580539080,30200778120
2020,82197763578,2340539902,9874665706,11726250500,132281503269,33130877380
2021,64017376309,3954703111,8660319655,11872950500,199708756020,17962510715
