,매출채권,재고자산,무형자산,자본금
2013,14529051482,6839745914,6999036614,5361198000
2014,9418783930,6024022171,6773512286,7685794000
2015,18607302601,10503143123,14515885504,7685794000
2016,23044447144,9289244670,12000436906,8422481500
2017,35908713224,10554756434,9771142854,9253046500
2018,14953791089,9151873094,8323664509,9253046500
2019,9394427833,2849351066,3685934834,9258996500
2020,12877374487,5363297768,2638600805,9367476500
2021,20935022711,5210660822,3470453764,9382376500
2022,36749945784,9191588609,3117267988,9487676500
